id,Segment,Country,Product,Units Sold,Manufacturing,Sale Price,Gross Sales,Discounts,Discount Band,Sales,COGS,Profit,Date,Month Number,Month Name
135,asymmetric,Brazil,sit,1276,224.88,354.856,452796.256,,None,452796.256,165849.376,165849.376,7/2/2019 0:00,7,July
136,4th generation,China,justo,4,168.88,361.656,1446.624,,None,1446.624,771.104,771.104,4/27/2020 0:00,4,April
137,asynchronous,Russia,ut,55,115.76,175.912,9675.16,,None,9675.16,3308.36,3308.36,11/7/2013 0:00,11,November
138,bottom-line,Argentina,ac,2355,85.48,257.576,606591.48,,None,606591.48,405286.08,405286.08,4/3/2018 0:00,4,April
139,multi-tasking,Poland,dapibus,1146,37.1,180.52,206875.92,,None,206875.92,164359.32,164359.32,5/4/2021 0:00,5,May
140,emulation,Brazil,orci,4372,244.22,486.064,2125071.808,,None,2125071.808,1057341.968,1057341.968,8/31/2014 0:00,8,August
141,object-oriented,Philippines,morbi,1011,9.61,108.532,109725.852,,None,109725.852,100010.142,100010.142,3/19/2017 0:00,3,March
142,regional,Portugal,lobortis,1645,8.3,140.96,231879.2,,None,231879.2,218225.7,218225.7,2/4/2014 0:00,2,February
143,application,Portugal,pede,3655,168.71,254.452,930022.06,,None,930022.06,313387.01,313387.01,8/7/2010 0:00,8,August
144,Distributed,Mexico,in,1740,235.09,423.108,736207.92,0.08,Discount Applied,736207.92,327151.32,327151.32,2/4/2011 0:00,2,February
145,forecast,Japan,volutpat,2399,169.61,306.532,735370.268,0.01,Discount Applied,735370.268,328475.878,328475.878,11/12/2016 0:00,11,November
146,throughput,France,leo,3003,171.48,209.776,629957.328,,None,629957.328,115002.888,115002.888,11/14/2011 0:00,11,November
147,coherent,Indonesia,lobortis,1493,159.71,247.652,369744.436,,None,369744.436,131297.406,131297.406,3/19/2011 0:00,3,March
148,info-mediaries,China,justo,3205,175.85,213.02,682729.1,,None,682729.1,119129.85,119129.85,2/10/2019 0:00,2,February
149,full-range,Colombia,ultrices,4046,145.37,233.444,944514.424,,None,944514.424,356347.404,356347.404,11/1/2018 0:00,11,November
150,parallelism,China,dui,1492,20.71,66.852,99743.184,,None,99743.184,68843.864,68843.864,4/30/2019 0:00,4,April
151,matrices,Greece,adipiscing,487,239.05,472.86,230282.82,,None,230282.82,113865.47,113865.47,11/14/2011 0:00,11,November
152,capacity,China,elementum,1791,48.95,69.74,124904.34,,None,124904.34,37234.89,37234.89,2/17/2019 0:00,2,February
153,secondary,Russia,varius,609,17.99,34.588,21064.092,0.04,Discount Applied,21064.092,10108.182,10108.182,4/7/2019 0:00,4,April
154,dynamic,Brazil,nulla,1115,177.28,321.736,358735.64,,None,358735.64,161068.44,161068.44,4/23/2018 0:00,4,April
155,hybrid,North Korea,posuere,3476,210.04,394.048,1369710.848,,None,1369710.848,639611.808,639611.808,8/29/2019 0:00,8,August
156,User-friendly,Israel,nulla,3065,241.29,326.548,1000869.62,,None,1000869.62,261315.77,261315.77,10/10/2017 0:00,10,October
157,Visionary,China,sed,2161,10.98,117.176,253217.336,,None,253217.336,229489.556,229489.556,1/11/2012 0:00,1,January
158,Diverse,Russia,condimentum,3326,152.26,271.712,903714.112,,None,903714.112,397297.352,397297.352,7/15/2017 0:00,7,July
159,methodology,Serbia,in,4225,204.5,438.4,1852240,,None,1852240,988227.5,988227.5,9/8/2015 0:00,9,September
160,Re-contextualized,Cuba,sodales,1241,112.98,294.576,365568.816,,None,365568.816,225360.636,225360.636,8/10/2014 0:00,8,August
161,Synergized,Indonesia,quis,3169,2.91,50.492,160009.148,,None,160009.148,150787.358,150787.358,2/22/2015 0:00,2,February
162,Horizontal,Netherlands,ullamcorper,2193,188.34,337.008,739058.544,,None,739058.544,326028.924,326028.924,6/10/2020 0:00,6,June
163,Multi-channelled,China,consequat,4299,84.02,187.824,807455.376,0.09,Discount Applied,807455.376,446253.396,446253.396,8/20/2015 0:00,8,August
164,Re-engineered,China,mattis,2068,225.15,295.18,610432.24,,None,610432.24,144822.04,144822.04,1/25/2021 0:00,1,January
165,Graphic Interface,South Africa,nibh,3223,114.41,292.292,942057.116,,None,942057.116,573313.686,573313.686,8/27/2017 0:00,8,August
166,Distributed,Philippines,at,2697,58.11,170.732,460464.204,,None,460464.204,303741.534,303741.534,9/26/2016 0:00,9,September
167,Diverse,Afghanistan,nascetur,2632,6.2,52.44,138022.08,,None,138022.08,121703.68,121703.68,8/10/2014 0:00,8,August
168,Upgradable,Portugal,ultrices,916,53,183.6,168177.6,,None,168177.6,119629.6,119629.6,1/18/2020 0:00,1,January
169,interface,United States,non,2057,247.49,452.988,931796.316,,None,931796.316,422709.386,422709.386,1/3/2017 0:00,1,January
170,Inverse,Indonesia,aliquam,2143,188.34,306.008,655775.144,,None,655775.144,252162.524,252162.524,9/15/2021 0:00,9,September
171,national,Japan,nam,1648,174.88,305.856,504050.688,,None,504050.688,215848.448,215848.448,6/7/2013 0:00,6,June
172,Graphical User Interface,France,iaculis,1513,215.42,392.504,593858.552,,None,593858.552,267928.092,267928.092,4/6/2011 0:00,4,April
173,workforce,Russia,ante,1151,63.68,199.416,229527.816,,None,229527.816,156232.136,156232.136,7/1/2010 0:00,7,July
174,Organic,Philippines,at,3583,238.39,367.068,1315204.644,,None,1315204.644,461053.274,461053.274,8/27/2019 0:00,8,August
175,high-level,China,mi,721,126.77,318.124,229367.404,,None,229367.404,137966.234,137966.234,6/13/2016 0:00,6,June
176,archive,Senegal,enim,464,187.45,265.94,123396.16,,None,123396.16,36419.36,36419.36,9/2/2018 0:00,9,September
177,Streamlined,Japan,sit,1738,244.74,442.688,769391.744,,None,769391.744,344033.624,344033.624,11/27/2021 0:00,11,November
178,system engine,Canada,sit,2270,130.7,284.84,646586.8,,None,646586.8,349897.8,349897.8,11/28/2019 0:00,11,November
179,Synergistic,Russia,justo,4464,80.96,112.152,500646.528,,None,500646.528,139241.088,139241.088,5/31/2017 0:00,5,May
180,Vision-oriented,Philippines,non,4415,38.94,151.728,669879.12,,None,669879.12,497959.02,497959.02,10/26/2015 0:00,10,October
181,Function-based,Norway,luctus,408,224.2,407.04,166072.32,,None,166072.32,74598.72,74598.72,5/16/2014 0:00,5,May
182,local area network,Russia,morbi,3755,66.88,129.256,485356.28,,None,485356.28,234221.88,234221.88,2/18/2011 0:00,2,February
183,systematic,Thailand,nisi,2396,131.68,333.016,797906.336,,None,797906.336,482401.056,482401.056,2/25/2012 0:00,2,February
184,framework,Syria,mus,4321,185.16,401.192,1733550.632,,None,1733550.632,933474.272,933474.272,11/9/2010 0:00,11,November
185,Sharable,Czech Republic,at,1126,21.19,127.428,143483.928,,None,143483.928,119623.988,119623.988,9/9/2014 0:00,9,September
186,De-engineered,Paraguay,rhoncus,1362,58.07,127.684,173905.608,,None,173905.608,94814.268,94814.268,9/2/2013 0:00,9,September
187,flexibility,Ukraine,primis,2410,163.37,276.044,665266.04,,None,665266.04,271544.34,271544.34,12/17/2015 0:00,12,December
188,Business-focused,Russia,turpis,1304,54.68,249.616,325499.264,,None,325499.264,254196.544,254196.544,7/12/2010 0:00,7,July
189,matrices,Poland,lectus,3685,60.4,118.48,436598.8,,None,436598.8,214024.8,214024.8,4/10/2014 0:00,4,April
190,neutral,China,mattis,4000,17.61,46.132,184528,,None,184528,114088,114088,5/9/2017 0:00,5,May
191,object-oriented,Russia,malesuada,1430,76.37,114.644,163940.92,,None,163940.92,54731.82,54731.82,10/19/2010 0:00,10,October
192,task-force,Nigeria,et,2746,70.63,277.756,762717.976,,None,762717.976,568767.996,568767.996,3/10/2014 0:00,3,March
193,groupware,Indonesia,est,2882,135.34,283.408,816781.856,0.06,Discount Applied,816781.856,426731.976,426731.976,9/12/2019 0:00,9,September
194,Fundamental,France,in,2366,127.21,187.652,443984.632,,None,443984.632,143005.772,143005.772,12/16/2015 0:00,12,December
195,Right-sized,Brazil,in,4185,162.51,350.012,1464800.22,,None,1464800.22,784695.87,784695.87,11/2/2015 0:00,11,November
196,system-worthy,Belarus,posuere,3096,96.34,184.608,571546.368,,None,571546.368,273277.728,273277.728,4/15/2013 0:00,4,April
197,intangible,Bulgaria,lobortis,2332,116.4,235.68,549605.76,,None,549605.76,278160.96,278160.96,12/7/2014 0:00,12,December
198,Total,Russia,amet,1647,58.2,212.84,350547.48,,None,350547.48,254692.08,254692.08,3/15/2012 0:00,3,March
199,stable,Indonesia,vitae,2657,80.44,153.528,407923.896,,None,407923.896,194194.816,194194.816,1/21/2012 0:00,1,January
200,impactful,Ecuador,non,3886,164.36,360.232,1399861.552,,None,1399861.552,761158.592,761158.592,12/29/2012 0:00,12,December
201,Expanded,Burkina Faso,pharetra,2217,173.74,362.488,803635.896,,None,803635.896,418454.316,418454.316,2/19/2021 0:00,2,February
202,Monitored,Republic of the Congo,quam,4395,17.55,33.06,145298.7,0.08,Discount Applied,145298.7,68166.45,68166.45,10/23/2021 0:00,10,October
203,support,Pakistan,pulvinar,2766,52.83,155.396,429825.336,,None,429825.336,283697.556,283697.556,9/12/2021 0:00,9,September
204,Business-focused,Azerbaijan,ipsum,4401,225.82,397.984,1751527.584,,None,1751527.584,757693.764,757693.764,8/2/2012 0:00,8,August
205,Reactive,Greece,at,193,185.71,420.852,81224.436,,None,81224.436,45382.406,45382.406,6/16/2010 0:00,6,June
206,zero tolerance,Argentina,convallis,2658,243.32,378.984,1007339.472,,None,1007339.472,360594.912,360594.912,2/3/2012 0:00,2,February
207,Focused,China,pretium,1777,83.47,224.164,398339.428,,None,398339.428,250013.238,250013.238,3/21/2015 0:00,3,March
208,contingency,Ireland,vulputate,4110,13.46,128.152,526704.72,0.08,Discount Applied,526704.72,471384.12,471384.12,5/6/2019 0:00,5,May
209,Diverse,Philippines,nullam,812,228.25,329.9,267878.8,0.07,Discount Applied,267878.8,82539.8,82539.8,4/10/2018 0:00,4,April
210,Progressive,Spain,at,4488,104.97,309.964,1391118.432,,None,1391118.432,920013.072,920013.072,4/11/2019 0:00,4,April
211,foreground,Indonesia,morbi,376,179.54,253.448,95296.448,0.02,Discount Applied,95296.448,27789.408,27789.408,10/7/2021 0:00,10,October
212,solution-oriented,France,dui,1605,154.19,232.028,372404.94,,None,372404.94,124929.99,124929.99,3/24/2020 0:00,3,March
213,zero administration,Poland,pellentesque,3656,128.06,270.672,989576.832,,None,989576.832,521389.472,521389.472,9/28/2015 0:00,9,September
